File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.AndroidApp\MainActivity.cs,26,19,12,0,6,0,1,8,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.AndroidApp\Properties\AssemblyInfo.cs,29,12,3,0,8,0,9,71,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.AndroidApp\Resources\Resource.designer.cs,144,83,41,0,37,0,24,92,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.AndroidFileWatcher\FileWatcher.cs,39,32,16,6,6,0,1,1,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.AndroidFileWatcher\Resources\Resource.designer.cs,58,35,13,0,13,0,10,36,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\Extensions.cs,32,29,18,4,3,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\ICloneable.cs,8,7,3,0,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\IDirectoryHelper.cs,19,16,12,0,3,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\IFileInfo.cs,13,10,6,0,3,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\IIPAddress.cs,9,8,4,0,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\IIPEndPoint.cs,6,6,2,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\IIPHelper.cs,10,10,6,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\INetworkStream.cs,12,9,5,0,3,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\IPUtils.cs,88,23,13,2,9,0,56,154,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\ISslStream.cs,13,10,6,0,1,0,2,12,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\ITcpClient.cs,11,9,5,0,2,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\ITcpListener.cs,9,9,5,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\IThreadHelper.cs,7,7,3,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\ITypeResolver.cs,28,18,14,0,10,0,0,0,0,0
