Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,162,7768,5891,3357,332,975,35,902,3810,57,340
C:\Users\Wojciech\Documents\Praca in¿\PiggySync,162,7768,5891,3357,332,975,35,902,3810,57,340
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.AndroidApp,3,199,114,56,0,51,0,34,171,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.AndroidApp\Properties,1,29,12,3,0,8,0,9,71,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.AndroidApp\Resources,1,144,83,41,0,37,0,24,92,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.AndroidFileWatcher,2,97,67,29,6,19,0,11,37,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.AndroidFileWatcher\Resources,1,58,35,13,0,13,0,10,36,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common,23,565,417,230,24,76,0,72,234,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\Abstract,1,12,11,7,0,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\Concrete,4,172,150,82,11,21,0,1,1,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\Properties,1,31,15,4,0,3,0,13,67,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Common\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Core,11,1408,1134,677,107,95,13,179,563,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Core\Concrete,3,173,30,14,0,3,0,140,297,0,0
